username,timestamp,likes,comment_text,cleaned_tokens,tok_len,char_len,word_len
faddom-adm,2026-01-04T12:47:56Z,1,Really cool recap and insights 😎,"['really', 'cool', 'recap', 'insight']",4,32,6
jeffcrume,2026-01-06T13:02:07Z,0,Glad you liked it!,"['glad', 'liked']",2,18,4
AdheeshadityaSingh,2026-01-04T11:38:47Z,0,❤,[],0,1,1
lll-xo6nk,2026-01-04T07:02:03Z,0,Flugtaxis für Medikamente existieren.,"['flugtaxis', 'medikamente', 'existieren']",3,37,4
nyanziashraf6983,2026-01-04T06:46:16Z,0,Voldemort teaching Cyber Sec! He&#39;s come a long way. 😂😂😂😂😂😂,"['voldemort', 'teaching', 'cyber', 'sec', 'come', 'long', 'way']",7,62,10
downtherabbitholetohell,2026-01-04T00:53:55Z,1,A bit off topic - As a newbie here i am interested to know if AI will be able to predict future crime? Like the movie Minority Report? How is AI learnin to do it presently ie: methodology and realtime applications being used today for the future of law enforcement and terrorist activity??,"['bit', 'topic', 'newbie', 'interested', 'know', 'able', 'predict', 'future', 'crime', 'like', 'movie', 'minority', 'report', 'learnin', 'presently', 'methodology', 'realtime', 'application', 'used', 'today', 'future', 'law', 'enforcement', 'terrorist', 'activity']",25,289,53
jeffcrume,2026-01-06T13:03:35Z,2,I think it will be able to but it will be wrong,"['think', 'able', 'wrong']",3,47,12
bijumohan9460,2026-01-03T20:33:32Z,1,"Hi Jeff, can you do a video on how utility and power companies use AI in their business transformation areas?","['jeff', 'video', 'utility', 'power', 'company', 'use', 'business', 'transformation', 'area']",9,109,20
jeffcrume,2026-01-04T12:06:38Z,0,It’s not an area I know much about but thanks for the suggestion,"['area', 'know', 'much', 'thanks', 'suggestion']",5,64,13
DanielLuna-xs7km,2026-01-03T18:25:41Z,0,"Besides all the money and digital footprint, accountancy needs to lead the way in diminishing fraud.","['besides', 'money', 'digital', 'footprint', 'accountancy', 'need', 'lead', 'way', 'diminishing', 'fraud']",10,100,16
YeshuaOhr33,2026-01-03T18:04:02Z,0,Bittensor sounds like the best way to develop this.,"['bittensor', 'sound', 'like', 'best', 'way', 'develop']",6,51,9
YeshuaOhr33,2026-01-03T17:58:30Z,1,"I&#39;m at the beginning of the video so you may talk about it but this is why decentralized AI, all open source, is so important","['beginning', 'video', 'may', 'talk', 'decentralized', 'open', 'source', 'important']",8,129,25
jeffcrume,2026-01-04T12:07:39Z,0,Open source can help but it’s no guarantee. I did another video on that topic a while back,"['open', 'source', 'help', 'guarantee', 'another', 'video', 'topic', 'back']",8,90,18
VeganTpig,2026-01-03T13:40:35Z,0,thanx,['thanx'],1,5,1
cncbuiltbyme,2026-01-03T12:39:59Z,1,I stumble across your video when I was searching for something else... so glad I did.  I need to get back into IT (after leaving it 20 years ago).,"['stumble', 'across', 'video', 'searching', 'something', 'else', 'glad', 'need', 'get', 'back', 'leaving', 'year', 'ago']",13,146,29
soulfulmusic8651,2026-01-03T04:16:54Z,0,What tool or smart screen you use for writing to deliver lecture?,"['tool', 'smart', 'screen', 'use', 'writing', 'deliver', 'lecture']",7,65,12
jennifercase9306,2026-01-03T01:08:30Z,0,Would rather use OS 2 than Win 11 any day,"['would', 'rather', 'use', 'win', 'day']",5,41,10
jennifercase9306,2026-01-03T01:05:47Z,0,Would like to see a Brand new Version of OS 2 to Dump Windows,"['would', 'like', 'see', 'brand', 'new', 'version', 'dump', 'window']",8,61,14
kelroydbjames,2026-01-02T19:50:55Z,0,Zero Knowledge Proofs will be required for both human and non human IDs.,"['zero', 'knowledge', 'proof', 'required', 'human', 'non', 'human', 'id']",8,72,13
CTRLxHack,2026-01-02T18:59:11Z,1,Great Video,"['great', 'video']",2,11,2
kiephs,2026-01-02T17:15:41Z,2,Is he writing backwards?,"['writing', 'backwards']",2,24,4
VernonJettlund,2026-01-05T20:51:01Z,0,"No, they flipped the video left to right","['flipped', 'video', 'left', 'right']",4,40,8
user-pl3lo8cc8y,2026-01-06T22:56:35Z,0,thank you— i was wondering the same thing,"['thank', 'wondering', 'thing']",3,41,8
greatindiacommunicationspr1489,2026-01-02T16:13:14Z,0,Hello🙏🏻,['hello'],1,7,1
emmajohnson-d4k,2026-01-02T13:52:34Z,1,This video should be prescribed as medicine.,"['video', 'prescribed', 'medicine']",3,44,7
jeffcrume,2026-01-03T21:20:33Z,0,😊,[],0,1,1
MSP-i7n,2026-01-02T12:37:25Z,1,I love your videos and I wish I colud work with you someday,"['love', 'video', 'wish', 'colud', 'work', 'someday']",6,59,13
tartarikker7792,2026-01-02T10:35:25Z,0,well.. wher eyou miss was when you thought quantum will eventually crack out current cryptography.. no need for any update to that matter.. it wont happen,"['well', 'wher', 'eyou', 'miss', 'thought', 'quantum', 'eventually', 'crack', 'current', 'cryptography', 'need', 'update', 'matter', 'wont', 'happen']",15,154,26
Eriiiiiiiick,2026-01-02T09:28:18Z,0,How can you be so anti-AI and educating about AI? hmmm,"['anti', 'educating', 'hmmm']",3,54,11
GenseeVerse,2026-01-02T03:33:32Z,3,Aah! Post Quantum Cryptography! :)(,"['aah', 'post', 'quantum', 'cryptography']",4,35,5
narutodayo,2026-01-01T19:08:05Z,1,"I will disagree with the takes on education and art as far as AI goes. What I am seeing is that both the ability to prompt AI and to curate AI responses are essential differentiators between users. In other words, the more you yourself know about the subject, the better you are able to use AI to assist you. If you always lean on AI to cut corners and cheat your way through school, you don&#39;t learn these kinds of skills. Most students apparently lack the maturity or insight to understand this. So, banning AI in most classroom activities is essential for encouraging actual learning, since students obviously can&#39;t resist the temptation to have it cheat for them. In a competitive job market, it will be the people who can use AI effectively who rise above the others, and ironically that requires being able to stand on their own two legs without AI helping you. As an example, I recently read of a brilliant mathematician who is having high level discussions with AI to advance his theories. Those discussions are only possible because of what he already knows, making him expert enough to ask insightful questions. The use of AI in the classroom discourages the development of that kind of expertise. As for AI making art, AI will be able to make art as good as humans the day that AI is able to be your best friend. Until it has that level of empathy and emotional ability, it will always fall short. And the fact that AI will collapse if it is only trained on AI gives a solid clue that whatever makes it tick, it&#39;s not any internal emotional selfhood that is bringing genuine emotional responses and the attendant artistic insight and imagination that a human has. Humans would never collapse mentally if they were only given AI art to learn from; their emotions would inform them, leading to self expression in new creative directions. AI is devoid of this ability. It will never make any art that is truly great. It can make some formulaic art, but that&#39;s it.","['disagree', 'take', 'education', 'art', 'far', 'go', 'seeing', 'ability', 'prompt', 'curate', 'response', 'essential', 'differentiator', 'user', 'word', 'know', 'subject', 'better', 'able', 'use', 'assist', 'always', 'lean', 'cut', 'corner', 'cheat', 'way', 'school', 'learn', 'kind', 'skill', 'student', 'apparently', 'lack', 'maturity', 'insight', 'understand', 'banning', 'classroom', 'activity', 'essential', 'encouraging', 'actual', 'learning', 'since', 'student', 'obviously', 'resist', 'temptation', 'cheat', 'competitive', 'job', 'market', 'people', 'use', 'effectively', 'rise', 'others', 'ironically', 'requires', 'able', 'stand', 'two', 'leg', 'without', 'helping', 'example', 'recently', 'read', 'brilliant', 'mathematician', 'high', 'level', 'discussion', 'advance', 'theory', 'discussion', 'possible', 'already', 'know', 'making', 'expert', 'enough', 'ask', 'insightful', 'question', 'use', 'classroom', 'discourages', 'development', 'kind', 'expertise', 'making', 'art', 'able', 'make', 'art', 'good', 'human', 'day', 'able', 'best', 'friend', 'level', 'empathy', 'emotional', 'ability', 'always', 'fall', 'short', 'fact', 'collapse', 'trained', 'give', 'solid', 'clue', 'whatever', 'make', 'tick', 'internal', 'emotional', 'selfhood', 'bringing', 'genuine', 'emotional', 'response', 'attendant', 'artistic', 'insight', 'imagination', 'human', 'human', 'would', 'never', 'collapse', 'mentally', 'given', 'art', 'learn', 'emotion', 'would', 'inform', 'leading', 'self', 'expression', 'new', 'creative', 'direction', 'devoid', 'ability', 'never', 'make', 'art', 'truly', 'great', 'make', 'formulaic', 'art']",158,1986,352
crenzoc,2026-01-01T15:56:36Z,0,"AI is growing faster than human capacity, but that is not the main problem. The real issue is leaving security behind and not developing both together at the same time.","['growing', 'faster', 'human', 'capacity', 'main', 'problem', 'real', 'issue', 'leaving', 'security', 'behind', 'developing', 'together', 'time']",14,168,30
Pentydzidzeme,2026-01-01T06:04:25Z,0,Who is here 2026?,[],0,17,4
seekertruth72,2026-01-01T05:13:06Z,1,I found it learning and getting insight in 2026,"['found', 'learning', 'getting', 'insight']",4,47,9
CyberWithMJ,2026-01-01T03:29:32Z,1,Whens the future of AI education video coming out?,"['whens', 'future', 'education', 'video', 'coming']",5,50,9
jeffcrume,2026-01-01T12:42:48Z,0,Thanks for asking! Jan 27 according to the current schedule (subject to change),"['thanks', 'asking', 'jan', 'according', 'current', 'schedule', 'subject', 'change']",8,79,13
ADAMANTECH,2025-12-31T20:50:50Z,2,"Thank you Jeff, I have a question:    What about changing of Regulations, Identity Verification(Potential Risks), and Importance of Govenance? I see lots of efforts related to compliance with Regulation(NIS2, GDPR in EU) but it&#39;s just about several Experts or consultants who configure/replace/reorganise equipments to achieve Risk treatment, no regular audits and no actual iterative cycle with determined risk owners. The lack of Governance and incapacity of c suite executives will be revealed soon and we should have something for it. I am doing my thesis on this area to provide an approach(hopefully with a prototype) for big guys(c suite executives) to first know the Regulations and their responsibilities, then through a dashboard they can see the flow of process based on standards(ISO 27000 family, NIST, CIS)  through a regular auditable, iterative, context based RMP(Risk Management Program). So in this way they consciously assign authorities and each decision would be accooring to identified/understood Risks not just Expert&#39;s opinions. My goal is to emphsis the governance and decision making stage.","['thank', 'jeff', 'question', 'changing', 'regulation', 'identity', 'verification', 'potential', 'risk', 'importance', 'govenance', 'see', 'lot', 'effort', 'related', 'compliance', 'regulation', 'ni', 'gdpr', 'several', 'expert', 'consultant', 'configure', 'replace', 'reorganise', 'equipment', 'achieve', 'risk', 'treatment', 'regular', 'audit', 'actual', 'iterative', 'cycle', 'determined', 'risk', 'owner', 'lack', 'governance', 'incapacity', 'suite', 'executive', 'revealed', 'soon', 'something', 'thesis', 'area', 'provide', 'approach', 'hopefully', 'prototype', 'big', 'guy', 'suite', 'executive', 'first', 'know', 'regulation', 'responsibility', 'dashboard', 'see', 'flow', 'process', 'based', 'standard', 'iso', 'family', 'nist', 'ci', 'regular', 'auditable', 'iterative', 'context', 'based', 'rmp', 'risk', 'management', 'program', 'way', 'consciously', 'assign', 'authority', 'decision', 'would', 'accooring', 'identified', 'understood', 'risk', 'expert', 'opinion', 'goal', 'emphsis', 'governance', 'decision', 'making', 'stage']",96,1124,168
PAVANKUMARYADAV-s7z,2025-12-31T20:27:31Z,0,"Hello sir I was thinking of one concept of MDDOS attack, using multiple devices to attack multiple devices at a same time","['hello', 'sir', 'thinking', 'one', 'concept', 'mddos', 'attack', 'using', 'multiple', 'device', 'attack', 'multiple', 'device', 'time']",14,121,22
jasgarcha4783,2025-12-31T20:26:35Z,0,Love it👏👍.,['love'],1,10,2
daustonian9331,2025-12-31T18:17:20Z,1,Love your channel wish I could’ve taken your class and anyone who says they have crystal balls and to be gentle has to be a good person!!,"['love', 'channel', 'wish', 'could', 'taken', 'class', 'anyone', 'say', 'crystal', 'ball', 'gentle', 'good', 'person']",13,137,27
SlyFoxDev,2025-12-31T17:51:26Z,1,"Thanks, I was curious :)","['thanks', 'curious']",2,24,5
aasimajaz,2025-12-31T17:49:47Z,4,Very helpful and on spot material,"['helpful', 'spot', 'material']",3,33,6
cerinthe802,2025-12-31T17:49:44Z,0,"Can we just acknowledge that AI is bad for everything, nerf it, and keep going?","['acknowledge', 'bad', 'everything', 'nerf', 'keep', 'going']",6,79,15
frenchfryinyourmcdonaldsba8688,2025-12-31T17:08:10Z,0,"for commerical &quot;free&quot; AI, we will see ads and intentional data poisoning / ai bias such as politics, history, etc. china is already doing this.","['commerical', 'quot', 'free', 'quot', 'see', 'ad', 'intentional', 'data', 'poisoning', 'bias', 'politics', 'history', 'etc', 'china', 'already']",15,153,25
belikewater9865,2025-12-31T16:20:06Z,0,"Boss, what do you think are the chances of AI doing a pre-emptive military attack without human intervention?","['bos', 'think', 'chance', 'pre', 'emptive', 'military', 'attack', 'without', 'human', 'intervention']",10,109,18
ShamsumuaazBello,2025-12-31T14:25:06Z,0,"I’m fired up after watching this, so good!","['fired', 'watching', 'good']",3,42,8
Sc0oby26th,2025-12-31T10:22:40Z,7,"Not sure what&#39;s more impressive your predictions for 2026, or you ability to write right-to-left backwards! Happy New Year 😊","['sure', 'impressive', 'prediction', 'ability', 'write', 'right', 'left', 'backwards', 'happy', 'new', 'year']",11,128,20
oliver8662,2026-01-05T07:47:21Z,1,I think they mirror the video,"['think', 'mirror', 'video']",3,29,6
umeshshankarpelli,2025-12-31T10:05:09Z,2,"Huge thanks to Jeff. Your videos are incredibly eye-opening and simplify complex topics in a way that helps me digest the information so much faster. I genuinely learn something new every single time. Today’s topic about trends in 2026 including Shadow AI, Attacks on Agents, and Quantum-Safe Cryptography was excellent, just like your previous ones on Zero-Click attacks and FIDO and so on. Keep up the amazing work and looking forward for more of your videos.","['huge', 'thanks', 'jeff', 'video', 'incredibly', 'eye', 'opening', 'simplify', 'complex', 'topic', 'way', 'help', 'digest', 'information', 'much', 'faster', 'genuinely', 'learn', 'something', 'new', 'every', 'single', 'time', 'today', 'topic', 'trend', 'including', 'shadow', 'attack', 'agent', 'quantum', 'safe', 'cryptography', 'excellent', 'like', 'previous', 'one', 'zero', 'click', 'attack', 'fido', 'keep', 'amazing', 'work', 'looking', 'forward', 'video']",47,461,76
jeffcrume,2026-01-03T21:22:42Z,1,Thanks so much!,"['thanks', 'much']",2,15,3
RagheedMohammed,2025-12-31T09:53:46Z,0,Give us cybersecurity roadmap 2026,"['give', 'cybersecurity', 'roadmap']",3,34,5
harshyadav3655,2025-12-31T09:37:55Z,1,"What about jobs in cybersecurity, will ai replace cybersecurity jobs ?","['job', 'cybersecurity', 'replace', 'cybersecurity', 'job']",5,70,11
jeffcrume,2026-01-03T21:23:13Z,0,It will replace some but definitely not all. I have a few more videos on the channel about that,"['replace', 'definitely', 'video', 'channel']",4,95,19
Ostap1974,2025-12-31T09:17:35Z,0,I estimate that passkeys will not fly for regular consumers in 2026. Complexity and inconvenience of current solutions is just not there yet. Not sure if it will get ever resolved because of fundamental issues with passkeys.,"['estimate', 'passkey', 'fly', 'regular', 'consumer', 'complexity', 'inconvenience', 'current', 'solution', 'yet', 'sure', 'get', 'ever', 'resolved', 'fundamental', 'issue', 'passkey']",17,224,37
FondjokamtchuengJonathanloic,2025-12-31T08:27:00Z,0,"I think most of the companies don&#39;t take the security part seriously, there are mostly thinking about scaling and making the job more automated , it is good but lets all talk about the security section where by the Ai use in developing can also be use to Attack at a far more greater scale .","['think', 'company', 'take', 'security', 'part', 'seriously', 'mostly', 'thinking', 'scaling', 'making', 'job', 'automated', 'good', 'let', 'talk', 'security', 'section', 'use', 'developing', 'also', 'use', 'attack', 'far', 'greater', 'scale']",25,295,56
NexTLosTs,2025-12-31T05:50:21Z,0,Glad to finally see videos that are interesting in my feed! This is going to be a great year!,"['glad', 'finally', 'see', 'video', 'interesting', 'feed', 'going', 'great', 'year']",9,93,19
GVBartholomew,2025-12-31T02:45:37Z,0,Hello how are you,['hello'],1,17,4
joel9909,2025-12-31T02:11:13Z,0,Good one,"['good', 'one']",2,8,2
anthonyfickas3435,2025-12-30T23:53:09Z,0,How much it costs? What happens when all the Data worldwide is  leaked. wtf.... It&#39;s unreal,"['much', 'cost', 'happens', 'data', 'worldwide', 'leaked', 'wtf', 'unreal']",8,95,16
anthonyfickas3435,2025-12-30T23:52:37Z,0,You mean like CIA ShotGIant and China&#39;s Salt Typhoon... give me a break lol,"['mean', 'like', 'cia', 'shotgiant', 'china', 'salt', 'typhoon', 'give', 'break', 'lol']",10,79,14
miraculixxs,2025-12-30T22:05:22Z,0,"This has been the worst post you did, sorry to say. It&#39;s not specific, bodes on hyperbole, and just throws around buzzwords. I know you can do better!","['worst', 'post', 'sorry', 'say', 'specific', 'bodes', 'hyperbole', 'throw', 'around', 'buzzword', 'know', 'better']",12,154,28
miraculixxs,2025-12-30T22:03:59Z,0,"How one can call passkeys easier is 🤯 this is not usable by the average dev, let alone by users. It&#39;s literally the opposite of a good solution.","['one', 'call', 'passkey', 'easier', 'usable', 'average', 'dev', 'let', 'alone', 'user', 'literally', 'opposite', 'good', 'solution']",14,148,28
miraculixxs,2025-12-30T21:57:55Z,0,Agents are literally not existing in any serious business environment. Don&#39;t fall for the vibe coders.,"['agent', 'literally', 'existing', 'serious', 'business', 'environment', 'fall', 'vibe', 'coder']",9,106,16
18joelb,2025-12-30T21:47:17Z,2,"One of my side hustles is being an adjunct professor...bruh, what a flex 😂","['one', 'side', 'hustle', 'adjunct', 'professor', 'bruh', 'flex']",7,74,14
mell-u4b,2025-12-30T18:39:41Z,0,Love these !!!! Please keep making them your the man !!!,"['love', 'please', 'keep', 'making', 'man']",5,56,11
dude4511,2025-12-30T18:29:29Z,0,"I think your spot on; it&#39;s just going to accelerate way faster than anyone can predict. liked and subbed to you, I want to stay up to date.","['think', 'spot', 'going', 'accelerate', 'way', 'faster', 'anyone', 'predict', 'liked', 'subbed', 'want', 'stay', 'date']",13,143,28
EeBbEeNnn,2025-12-30T12:16:56Z,14,"Thanks for this Jeff. Also quite important to note that regarding the &quot;Attacks on Agents&quot; prediction for 2026, we can also take into account the recent OWASP Top 10 for &quot;Agentic AI&quot; that was published. Helping complement the various possible threats and attacks on AI Agents including; Agent Goal Hijack, tool misuse, Rogue Agents and more..<br><br>I fully agree with your predictions for 2026. Looking forward to an exciting 2026 year full of advancements👍🏿","['thanks', 'jeff', 'also', 'quite', 'important', 'note', 'regarding', 'quot', 'attack', 'agent', 'quot', 'prediction', 'also', 'take', 'account', 'recent', 'owasp', 'top', 'quot', 'agentic', 'quot', 'published', 'helping', 'complement', 'various', 'possible', 'threat', 'attack', 'agent', 'including', 'agent', 'goal', 'hijack', 'tool', 'misuse', 'rogue', 'agent', 'fully', 'agree', 'prediction', 'looking', 'forward', 'exciting', 'year', 'full', 'advancement']",46,478,73
jeffcrume,2025-12-30T15:01:09Z,5,I’m glad you liked it! I’m planning a short video series on the updated OWASP top 10 for LLM’s but your comment leads me to believe that maybe I should do one on the Agentic AI list as well,"['glad', 'liked', 'planning', 'short', 'video', 'series', 'updated', 'owasp', 'top', 'llm', 'comment', 'lead', 'believe', 'maybe', 'one', 'agentic', 'list', 'well']",18,189,39
Bhanupratap-w7j,2025-12-30T10:32:10Z,107,IBM is mostly spot on with the trends predictions,"['ibm', 'mostly', 'spot', 'trend', 'prediction']",5,49,9
jeffcrume,2025-12-30T14:59:32Z,25,"I’m glad you agree! (But just to be clear, these are my own views rather than something from the corporate collective so blame me if they are wrong) 😊","['glad', 'agree', 'clear', 'view', 'rather', 'something', 'corporate', 'collective', 'blame', 'wrong']",10,150,29
Howell_Jolly,2025-12-30T07:51:29Z,77,"After signing in with a passkey or a physical security key for multi-factor authentication, the browser stores a session cookie so you don&#39;t have to tap your key for every new page you visit. Can a hacker steal that session cookie and access your account on another device without your passkey or security key, and can DBSC (Device-Bound Session Credentials) prevent this?","['signing', 'passkey', 'physical', 'security', 'key', 'multi', 'factor', 'authentication', 'browser', 'store', 'session', 'cookie', 'tap', 'key', 'every', 'new', 'page', 'visit', 'hacker', 'steal', 'session', 'cookie', 'access', 'account', 'another', 'device', 'without', 'passkey', 'security', 'key', 'dbsc', 'device', 'bound', 'session', 'credential', 'prevent']",36,376,62
jeffcrume,2025-12-30T14:58:23Z,76,"This is called session hijacking and, yes, it can happen but the web site can also prevent it. Having a TLS encrypted session helps if the web site detects that the cookie is being used over a different encrypted path","['called', 'session', 'hijacking', 'yes', 'happen', 'web', 'site', 'also', 'prevent', 'tl', 'encrypted', 'session', 'help', 'web', 'site', 'detects', 'cookie', 'used', 'different', 'encrypted', 'path']",21,217,40
sahaqhashum347,2025-12-30T07:50:18Z,2,Thank you sir,"['thank', 'sir']",2,13,3
WirStartenKI,2025-12-30T06:49:25Z,0,I hear this as companies experiencing mostly downsides when AI is implemented incorrectly,"['hear', 'company', 'experiencing', 'mostly', 'downside', 'implemented', 'incorrectly']",7,89,13
Saadat_still,2025-12-30T06:42:22Z,24,AI vs AI sounds entertaining,"['sound', 'entertaining']",2,28,5
jeffcrume,2025-12-30T14:56:25Z,4,🍿 🍿 🍿,[],0,5,3
novafox7091,2025-12-29T15:48:44Z,5,I believe you are spot on with the entire analysis.,"['believe', 'spot', 'entire', 'analysis']",4,51,10
jeffcrume,2025-12-29T21:45:59Z,1,I’m glad you liked it!,"['glad', 'liked']",2,22,5
justwanderin847,2025-12-29T15:02:42Z,4,"I predict that Digital ID will be forced upon us and those that are not compliant ( older folks, the young don&#39;t care ) will be off the internet. Censorship will destroy social media and thus the internet.","['predict', 'digital', 'forced', 'upon', 'compliant', 'older', 'folk', 'young', 'care', 'internet', 'censorship', 'destroy', 'social', 'medium', 'thus', 'internet']",16,209,38
keithmasavage6758,2025-12-29T14:58:01Z,3,Is anyone looking at LLM DOS attacks?,"['anyone', 'looking', 'llm', 'do', 'attack']",5,37,7
jeffcrume,2025-12-29T21:45:35Z,4,"Yes, I’ve been talking about this risk for the past couple of years in all my public presentations on AI","['yes', 'talking', 'risk', 'past', 'couple', 'year', 'public', 'presentation']",8,104,20
tritschlerm,2025-12-29T14:47:22Z,5,"AI battles comes for sure, PQC also","['battle', 'come', 'sure', 'pqc', 'also']",5,35,7
lxn7404,2025-12-29T14:41:01Z,5,"AI in education can be awesome, if you use it to explain and guide you it&#39;s usually better than a lot of bad teachers honestly, at least that&#39;s what I see in the tech field","['education', 'awesome', 'use', 'explain', 'guide', 'usually', 'better', 'lot', 'bad', 'teacher', 'honestly', 'least', 'see', 'tech', 'field']",15,180,35
jeffcrume,2025-12-29T21:45:05Z,0,Agreed. I have a video that will come out on this in a month or so,"['agreed', 'video', 'come', 'month']",4,66,16
_Woo,2025-12-29T14:40:38Z,3,We are using AI to defend against problems that AI brought us smdh. <br>This is one massive alpha that we where signed up for unwillingly.,"['using', 'defend', 'problem', 'brought', 'smdh', 'one', 'massive', 'alpha', 'signed', 'unwillingly']",10,138,25
jeffcrume,2025-12-29T21:44:41Z,2,"It has always been so. Sometimes we use fire to fight fire but, overall, fire is a good thing","['always', 'sometimes', 'use', 'fire', 'fight', 'fire', 'overall', 'fire', 'good', 'thing']",10,93,19
justwanderin847,2025-12-29T14:39:31Z,1,"<a href=""https://www.youtube.com/watch?v=2jU-mLMV8Vw&amp;t=548"">9:08</a>  NHI  interesting... yikes","['href', 'http', 'www', 'youtube', 'com', 'watch', 'mlmv', 'amp', 'nhi', 'interesting', 'yikes']",11,99,5
Bernderbrot,2025-12-29T14:36:32Z,1,very intresting,['intresting'],1,15,2
NATURALINTELLIGENCEuk,2025-12-29T14:24:12Z,3,"Hi IBM <a href=""UCkszU2WH9gy1mb0dV-11UJg/popcorn-yellow-striped-smile""></a>, I made an AI British Sitcom about AI Bots taking over an office without the Humans realising, would love for you to check it out.","['ibm', 'href', 'uckszu', 'ujg', 'popcorn', 'yellow', 'striped', 'smile', 'made', 'british', 'sitcom', 'bot', 'taking', 'office', 'without', 'human', 'realising', 'would', 'love', 'check']",20,206,29
más-g7z,2025-12-29T14:22:26Z,139,I have a feeling that companies are going to realize that some AI implementations are more trouble than they are worth,"['feeling', 'company', 'going', 'realize', 'implementation', 'trouble', 'worth']",7,118,21
eeko_systems,2025-12-29T13:52:01Z,7,looking forward to your 2026 videos,"['looking', 'forward', 'video']",3,35,6
MattReed,2025-12-29T13:48:24Z,19,Very informative. Thank you!,"['informative', 'thank']",2,28,4
jimh6233,2025-12-29T13:48:14Z,2,"Jeff, another great video—thank you!  I totally agree with your comments on EDUCATION.  Can you do more on QSC and PQC to help us understand how to use them?","['jeff', 'another', 'great', 'video', 'thank', 'totally', 'agree', 'comment', 'education', 'qsc', 'pqc', 'help', 'understand', 'use']",14,157,29
jeffcrume,2025-12-29T21:42:53Z,1,Glad you liked it! I’ve actually done a few videos on QSC that I hope will help. I’d include a link but it would get removed,"['glad', 'liked', 'actually', 'done', 'video', 'qsc', 'hope', 'help', 'include', 'link', 'would', 'get', 'removed']",13,124,26
furetosan,2025-12-29T13:38:36Z,1,the scale of the scaling.. perhaps,"['scale', 'scaling', 'perhaps']",3,34,6
JoséPousada-s8j,2025-12-29T13:35:47Z,6,"I hope that companies don&#39;t just deploy QSC, but also ensure their users change passwords once they do. Otherwise they will be vulnerable to past data breaches that can be decrypted once quantum computing becomes a reality. Great video!","['hope', 'company', 'deploy', 'qsc', 'also', 'ensure', 'user', 'change', 'password', 'otherwise', 'vulnerable', 'past', 'data', 'breach', 'decrypted', 'quantum', 'computing', 'becomes', 'reality', 'great', 'video']",21,240,39
jeffcrume,2025-12-29T14:03:05Z,0,Glad you liked it!,"['glad', 'liked']",2,18,4
arinyah4790,2025-12-29T13:31:40Z,9,"I see Zero trust applied beyond the application layer and right into the document where only sensitive parts are encrypted - down to word, paragraph, cell and even pixel level. While leaving sensitive information accessible in the same document. Access is granted only to authorised subjects via cryptographically enabled ABAC. Document remians accessible in there native application. This is concerning unstructured data by the way!","['see', 'zero', 'trust', 'applied', 'beyond', 'application', 'layer', 'right', 'document', 'sensitive', 'part', 'encrypted', 'word', 'paragraph', 'cell', 'even', 'pixel', 'level', 'leaving', 'sensitive', 'information', 'accessible', 'document', 'access', 'granted', 'authorised', 'subject', 'via', 'cryptographically', 'enabled', 'abac', 'document', 'remians', 'accessible', 'native', 'application', 'concerning', 'unstructured', 'data', 'way']",40,433,65
jeffcrume,2025-12-29T14:02:44Z,5,I agree that the one size fits all security for an entire document seems overly rigid. 20 years ago IBM had a technology in Research that would do something similar to what you described by masking certain parts of a document so that you could only access the parts you were authorized to but no one really went for it,"['agree', 'one', 'size', 'fit', 'security', 'entire', 'document', 'seems', 'overly', 'rigid', 'year', 'ago', 'ibm', 'technology', 'research', 'would', 'something', 'similar', 'described', 'masking', 'certain', 'part', 'document', 'could', 'access', 'part', 'authorized', 'one', 'really', 'went']",30,318,60
foreverman-ai,2025-12-29T13:31:25Z,0,&quot;PhAgents&quot;; the bane of everyone&#39;s existence in 2026. (AI Phishing Agents),"['quot', 'phagents', 'quot', 'bane', 'everyone', 'existence', 'phishing', 'agent']",8,88,11
rickharold7884,2025-12-29T13:23:33Z,5,Awesome.,['awesome'],1,8,1
pychoo6777,2025-12-29T12:41:38Z,0,?,[],0,1,1
pychoo6777,2025-12-29T12:41:37Z,0,?,[],0,1,1
seandon1056,2025-12-29T12:35:39Z,12,Im glad to be the first here. Currently studying cyber security so was glad to see this.,"['glad', 'first', 'currently', 'studying', 'cyber', 'security', 'glad', 'see']",8,88,17
jeffcrume,2025-12-29T21:41:03Z,1,Thank you for watching!,"['thank', 'watching']",2,23,4
