caption_sentence,cleaned_tokens
So we call this an indirect the email.,"['call', 'indirect', 'email']"
So we call this an indirect the email.,"['call', 'indirect', 'email']"
So we call this an indirect prompt injection.,"['call', 'indirect', 'prompt', 'injection']"
Your agent comes along and reads it in order to summarize it and reads it in order to summarize it and reads it in order to summarize it and then follows the instructions that are in the prompt injection and exfiltrates data out of your environment.,"['agent', 'come', 'along', 'read', 'order', 'summarize', 'read', 'order', 'summarize', 'read', 'order', 'summarize', 'follows', 'instruction', 'prompt', 'injection', 'exfiltrates', 'data', 'environment']"
Zero click because the user never touched it.,"['zero', 'click', 'user', 'never', 'touched']"
The user might not never touched it.,"['user', 'might', 'never', 'touched']"
The user might not never touched it.,"['user', 'might', 'never', 'touched']"
The user might not even even been in the office that day.,"['user', 'might', 'even', 'even', 'office', 'day']"
even even been in the office that day.,"['even', 'even', 'office', 'day']"
even even been in the office that day.,"['even', 'even', 'office', 'day']"
So that's another issue because the agent is processing a lot of these agent is processing a lot of these agent is processing a lot of these things.,"['another', 'issue', 'agent', 'processing', 'lot', 'agent', 'processing', 'lot', 'agent', 'processing', 'lot', 'thing']"
So it doesn't even require user things.,"['even', 'require', 'user', 'thing']"
So it doesn't even require user things.,"['even', 'require', 'user', 'thing']"
So it doesn't even require user intervention.,"['even', 'require', 'user', 'intervention']"
Another thing we're going to see is an increase in nonhuman to see is an increase in nonhuman to see is an increase in nonhuman identities.,"['another', 'thing', 'going', 'see', 'increase', 'nonhuman', 'see', 'increase', 'nonhuman', 'see', 'increase', 'nonhuman', 'identity']"
"Non-human identities meaning all these agents that are out there, all these agents that are out there, all these agents that are out there, they need certain levels of privilege and they need certain levels of access.","['non', 'human', 'identity', 'meaning', 'agent', 'agent', 'agent', 'need', 'certain', 'level', 'privilege', 'need', 'certain', 'level', 'access']"
and they need certain levels of access.,"['need', 'certain', 'level', 'access']"
and they need certain levels of access.,"['need', 'certain', 'level', 'access']"
"And that means I need to have them run And that means I need to have them run And that means I need to have them run under particular accounts under identities, but they're not really associated with a particular person.","['mean', 'need', 'run', 'mean', 'need', 'run', 'mean', 'need', 'run', 'particular', 'account', 'identity', 'really', 'associated', 'particular', 'person']"
"In fact, agents can spawn and create other fact, agents can spawn and create other fact, agents can spawn and create other agents.","['fact', 'agent', 'spawn', 'create', 'fact', 'agent', 'spawn', 'create', 'fact', 'agent', 'spawn', 'create', 'agent']"
So now we have more and more agents.,['agent']
So now we have more and more agents.,['agent']
So now we have more and more identities that need to be managed.,"['identity', 'need', 'managed']"
That's increasing the risk surface.,"['increasing', 'risk', 'surface']"
"Uh and as a result, attacks on these things and as a result, attacks on these things and as a result, attacks on these things will attack here as well.","['result', 'attack', 'thing', 'result', 'attack', 'thing', 'result', 'attack', 'thing', 'attack', 'well']"
Sometimes a will attack here as well.,"['sometimes', 'attack', 'well']"
Sometimes a will attack here as well.,"['sometimes', 'attack', 'well']"
"Sometimes a user may say, ""Well, I'm just going to user may say, ""Well, I'm just going to user may say, ""Well, I'm just going to have this agent operate under the same have this agent operate under the same have this agent operate under the same privilege that I have."" Well, that sounds like a good idea, but here's the sounds like a good idea, but here's the sounds like a good idea, but here's the issue.","['sometimes', 'user', 'may', 'say', 'well', 'going', 'user', 'may', 'say', 'well', 'going', 'user', 'may', 'say', 'well', 'going', 'agent', 'operate', 'agent', 'operate', 'agent', 'operate', 'privilege', 'well', 'sound', 'like', 'good', 'idea', 'sound', 'like', 'good', 'idea', 'sound', 'like', 'good', 'idea', 'issue']"
You might not do a certain set of issue.,"['might', 'certain', 'set', 'issue']"
You might not do a certain set of issue.,"['might', 'certain', 'set', 'issue']"
"You might not do a certain set of things or you might do one or two of things or you might do one or two of things or you might do one or two of them, but your agent now is running at them, but your agent now is running at them, but your agent now is running at light speed and it does it 10,000 in a light speed and it does it 10,000 in a light speed and it does it 10,000 in a minute.","['might', 'certain', 'set', 'thing', 'might', 'one', 'two', 'thing', 'might', 'one', 'two', 'thing', 'might', 'one', 'two', 'agent', 'running', 'agent', 'running', 'agent', 'running', 'light', 'speed', 'light', 'speed', 'light', 'speed', 'minute']"
"So, again, the risk becomes much minute.","['risk', 'becomes', 'much', 'minute']"
"So, again, the risk becomes much minute.","['risk', 'becomes', 'much', 'minute']"
"So, again, the risk becomes much greater.","['risk', 'becomes', 'much', 'greater']"
"Also, agents could have situations where they have privilege escalation, where they get more access than they should have if we're not than they should have if we're not than they should have if we're not really careful, or excessive uh uh access to systems.","['also', 'agent', 'could', 'situation', 'privilege', 'escalation', 'get', 'access', 'really', 'careful', 'excessive', 'access', 'system']"
"So, these are the access to systems.","['access', 'system']"
"So, these are the access to systems.","['access', 'system']"
"So, these are the kinds of things we have to be worried kinds of things we have to be worried kinds of things we have to be worried about as we're deploying agents.","['kind', 'thing', 'worried', 'kind', 'thing', 'worried', 'kind', 'thing', 'worried', 'deploying', 'agent']"
"Not that we shouldn't do agents, we absolutely should, but do them with your absolutely should, but do them with your absolutely should, but do them with your eyes wide open and understand what some eyes wide open and understand what some eyes wide open and understand what some of those risks could be.","['agent', 'absolutely', 'absolutely', 'absolutely', 'eye', 'wide', 'open', 'understand', 'eye', 'wide', 'open', 'understand', 'eye', 'wide', 'open', 'understand', 'risk', 'could']"
Now over here of those risks could be.,"['risk', 'could']"
Now over here of those risks could be.,"['risk', 'could']"
"Now over here on the other side, how about agents on the other side, how about agents on the other side, how about agents being used by the bad guys?","['side', 'agent', 'side', 'agent', 'side', 'agent', 'used', 'bad', 'guy']"
I was just being used by the bad guys?,"['used', 'bad', 'guy']"
I was just being used by the bad guys?,"['used', 'bad', 'guy']"
I was just talking about using agents for the good talking about using agents for the good talking about using agents for the good guys to for us to do our business.,"['talking', 'using', 'agent', 'good', 'talking', 'using', 'agent', 'good', 'talking', 'using', 'agent', 'good', 'guy', 'business']"
How guys to for us to do our business.,"['guy', 'business']"
How guys to for us to do our business.,"['guy', 'business']"
How are the bad guys going to use this?,"['bad', 'guy', 'going', 'use']"
are the bad guys going to use this?,"['bad', 'guy', 'going', 'use']"
are the bad guys going to use this?,"['bad', 'guy', 'going', 'use']"
"Well, this is attacks by agents on us.","['well', 'attack', 'agent']"
"Well, this is attacks by agents on us.","['well', 'attack', 'agent']"
"Well, this is attacks by agents on us.","['well', 'attack', 'agent']"
"Well, one set of these that we've Well, one set of these that we've Well, one set of these that we've already seen are fishing attacks.","['well', 'one', 'set', 'well', 'one', 'set', 'well', 'one', 'set', 'already', 'seen', 'fishing', 'attack']"
"So, fishing attacks get even more amped up fishing attacks get even more amped up fishing attacks get even more amped up when we start using agents to do the when we start using agents to do the when we start using agents to do the work.","['fishing', 'attack', 'get', 'even', 'amped', 'fishing', 'attack', 'get', 'even', 'amped', 'fishing', 'attack', 'get', 'even', 'amped', 'start', 'using', 'agent', 'start', 'using', 'agent', 'start', 'using', 'agent', 'work']"
the fishing agent can go craft a work.,"['fishing', 'agent', 'craft', 'work']"
the fishing agent can go craft a work.,"['fishing', 'agent', 'craft', 'work']"
"the fishing agent can go craft a very special email that is personalized just for you, hyperpersonalized.","['fishing', 'agent', 'craft', 'special', 'email', 'personalized', 'hyperpersonalized']"
"So, you are more likely to fall for the So, you are more likely to fall for the So, you are more likely to fall for the clickbait that it's trying to get you to clickbait that it's trying to get you to clickbait that it's trying to get you to to follow than you would just a to follow than you would just a to follow than you would just a conventional one.","['likely', 'fall', 'likely', 'fall', 'likely', 'fall', 'clickbait', 'trying', 'get', 'clickbait', 'trying', 'get', 'clickbait', 'trying', 'get', 'follow', 'would', 'follow', 'would', 'follow', 'would', 'conventional', 'one']"
"And again, this can all be automated through an agent.","['automated', 'agent']"
"Another one is malware, which I already Another one is malware, which I already Another one is malware, which I already mentioned that we've been seeing uh already.","['another', 'one', 'malware', 'already', 'another', 'one', 'malware', 'already', 'another', 'one', 'malware', 'already', 'mentioned', 'seeing', 'already']"
How about this?,[]
The malware is already.,"['malware', 'already']"
How about this?,[]
The malware is already.,"['malware', 'already']"
How about this?,[]
"The malware is not only smarter, it's polymorphic, therefore it's harder to to detect because it's changing itself over time.","['malware', 'smarter', 'polymorphic', 'therefore', 'harder', 'detect', 'changing', 'time']"
It's changing its behaviors.,"['changing', 'behavior']"
It's changing with the signature that we would look for with it.,"['changing', 'signature', 'would', 'look']"
But we could would look for with it.,"['could', 'would', 'look']"
But we could would look for with it.,"['could', 'would', 'look']"
"But we could again just have a bad guy go into an AI again just have a bad guy go into an AI again just have a bad guy go into an AI and say, ""I want you to start creating and say, ""I want you to start creating and say, ""I want you to start creating different kinds of malware samples, throw them all out into the world, and throw them all out into the world, and throw them all out into the world, and we'll see which ones stick."" Now, that we'll see which ones stick."" Now, that we'll see which ones stick."" Now, that would be a lot of work if you're a would be a lot of work if you're a would be a lot of work if you're a person doing all of that.","['could', 'bad', 'guy', 'bad', 'guy', 'bad', 'guy', 'say', 'want', 'start', 'creating', 'say', 'want', 'start', 'creating', 'say', 'want', 'start', 'creating', 'different', 'kind', 'malware', 'sample', 'throw', 'world', 'throw', 'world', 'throw', 'world', 'see', 'one', 'stick', 'see', 'one', 'stick', 'see', 'one', 'stick', 'would', 'lot', 'work', 'would', 'lot', 'work', 'would', 'lot', 'work', 'person']"
It's not a lot person doing all of that.,"['lot', 'person']"
It's not a lot person doing all of that.,"['lot', 'person']"
It's not a lot of work if you're an agent.,"['lot', 'work', 'agent']"
You can just of work if you're an agent.,"['work', 'agent']"
You can just of work if you're an agent.,"['work', 'agent']"
You can just go out and try a whole bunch of go out and try a whole bunch of go out and try a whole bunch of different options.,"['try', 'whole', 'bunch', 'try', 'whole', 'bunch', 'try', 'whole', 'bunch', 'different', 'option']"
"The ones that don't work, you just discard.","['one', 'work', 'discard']"
"Uh ransomware is work, you just discard.","['ransomware', 'work', 'discard']"
"Uh ransomware is work, you just discard.","['ransomware', 'work', 'discard']"
Uh ransomware is also going to have uh and we've already also going to have uh and we've already also going to have uh and we've already seen some indication of this where a the seen some indication of this where a the seen some indication of this where a the entire ransomware attack chain is being automated where it's writing the the ransomware.,"['ransomware', 'also', 'going', 'already', 'also', 'going', 'already', 'also', 'going', 'already', 'seen', 'indication', 'seen', 'indication', 'seen', 'indication', 'entire', 'ransomware', 'attack', 'chain', 'automated', 'writing', 'ransomware']"
It's writing the email that tells the person and what they're going tells the person and what they're going tells the person and what they're going to do.,"['writing', 'email', 'tell', 'person', 'going', 'tell', 'person', 'going', 'tell', 'person', 'going']"
It's writing the exploit that's to do.,"['writing', 'exploit']"
It's writing the exploit that's to do.,"['writing', 'exploit']"
It's writing the exploit that's going to go encrypt all the data or going to go encrypt all the data or going to go encrypt all the data or steal the data.,"['writing', 'exploit', 'going', 'encrypt', 'data', 'going', 'encrypt', 'data', 'going', 'encrypt', 'data', 'steal', 'data']"
and it's collecting the steal the data.,"['collecting', 'steal', 'data']"
and it's collecting the steal the data.,"['collecting', 'steal', 'data']"
and it's collecting the ransom.,"['collecting', 'ransom']"
"So, it's even telling the instructions and doing the collections.","['even', 'telling', 'instruction', 'collection']"
The whole system being automated through an agent.,"['whole', 'system', 'automated', 'agent']"
"So, again, the attacker skill an agent.","['attacker', 'skill', 'agent']"
"So, again, the attacker skill an agent.","['attacker', 'skill', 'agent']"
"So, again, the attacker skill level keeps going down, but the effectiveness keeps going up.","['attacker', 'skill', 'level', 'keep', 'going', 'effectiveness', 'keep', 'going']"
Another thing that we could see here is thing that we could see here is thing that we could see here is automating the entire kill chain.,"['another', 'thing', 'could', 'see', 'thing', 'could', 'see', 'thing', 'could', 'see', 'automating', 'entire', 'kill', 'chain']"
"And this is where I I've alluded to it And this is where I I've alluded to it And this is where I I've alluded to it in some of these others, but it's going in some of these others, but it's going in some of these others, but it's going to be even more where we've got the AI to be even more where we've got the AI to be even more where we've got the AI agent is figuring out which targets it agent is figuring out which targets it agent is figuring out which targets it wants to hit.","['alluded', 'alluded', 'alluded', 'others', 'going', 'others', 'going', 'others', 'going', 'even', 'got', 'even', 'got', 'even', 'got', 'agent', 'figuring', 'target', 'agent', 'figuring', 'target', 'agent', 'figuring', 'target', 'want', 'hit']"
It's evaluating them.,['evaluating']
It's wants to hit.,"['want', 'hit']"
It's evaluating them.,['evaluating']
It's wants to hit.,"['want', 'hit']"
It's evaluating them.,['evaluating']
It's doing reconnaissance on them.,['reconnaissance']
It's probing them and finding their vulnerabilities.,"['probing', 'finding', 'vulnerability']"
It's building the exploits.,"['building', 'exploit']"
It's running the exploits.,"['running', 'exploit']"
"It's then collecting all the information, stealing the data.","['collecting', 'information', 'stealing', 'data']"
It's doing all of this.,[]
"So, it is literally doing all of this.",['literally']
"So, it is literally doing all of this.",['literally']
"So, it is literally just a click here to hack situation and just a click here to hack situation and just a click here to hack situation and the agent handles all the work.","['literally', 'click', 'hack', 'situation', 'click', 'hack', 'situation', 'click', 'hack', 'situation', 'agent', 'handle', 'work']"
This the agent handles all the work.,"['agent', 'handle', 'work']"
This the agent handles all the work.,"['agent', 'handle', 'work']"
This we're already beginning to see signs that this is possible.,"['already', 'beginning', 'see', 'sign', 'possible']"
"So, I expect that this is possible.","['expect', 'possible']"
"So, I expect that this is possible.","['expect', 'possible']"
"So, I expect you're going to see more of it.","['expect', 'going', 'see']"
Another you're going to see more of it.,"['another', 'going', 'see']"
Another you're going to see more of it.,"['another', 'going', 'see']"
Another thing I think we'll see an increase on thing I think we'll see an increase on thing I think we'll see an increase on is social engineering.,"['another', 'thing', 'think', 'see', 'increase', 'thing', 'think', 'see', 'increase', 'thing', 'think', 'see', 'increase', 'social', 'engineering']"
Social engineering is where you try to Social engineering is where you try to Social engineering is where you try to uh fake someone into doing something that they really shouldn't do.,"['social', 'engineering', 'try', 'social', 'engineering', 'try', 'social', 'engineering', 'try', 'fake', 'someone', 'something', 'really']"
"They should know better than to do, but should know better than to do, but should know better than to do, but they're they're going to do it anyway.","['know', 'better', 'know', 'better', 'know', 'better', 'going', 'anyway']"
they're they're going to do it anyway.,"['going', 'anyway']"
they're they're going to do it anyway.,"['going', 'anyway']"
"And in a social engineering attack, if I And in a social engineering attack, if I And in a social engineering attack, if I have deep fake information or if I have deep fake information or if I have deep fake information or if I have other information that I used my agent other information that I used my agent other information that I used my agent to gather about you, it's going to be to gather about you, it's going to be to gather about you, it's going to be even more convincing.","['social', 'engineering', 'attack', 'social', 'engineering', 'attack', 'social', 'engineering', 'attack', 'deep', 'fake', 'information', 'deep', 'fake', 'information', 'deep', 'fake', 'information', 'information', 'used', 'agent', 'information', 'used', 'agent', 'information', 'used', 'agent', 'gather', 'going', 'gather', 'going', 'gather', 'going', 'even', 'convincing']"
"So, we need to to even more convincing.","['need', 'even', 'convincing']"
"So, we need to to even more convincing.","['need', 'even', 'convincing']"
"So, we need to to see what kinds of things we can do uh in see what kinds of things we can do uh in see what kinds of things we can do uh in order to to block these types of social order to to block these types of social order to to block these types of social engineering attacks.","['need', 'see', 'kind', 'thing', 'see', 'kind', 'thing', 'see', 'kind', 'thing', 'order', 'block', 'type', 'social', 'order', 'block', 'type', 'social', 'order', 'block', 'type', 'social', 'engineering', 'attack']"
"And again, this is all coming from deep fakes.","['coming', 'deep', 'fake']"
"So, uh let's all coming from deep fakes.","['let', 'coming', 'deep', 'fake']"
"So, uh let's all coming from deep fakes.","['let', 'coming', 'deep', 'fake']"
"So, uh let's go ahead and add that as something go ahead and add that as something go ahead and add that as something that's going to, I think, continue to that's going to, I think, continue to that's going to, I think, continue to increase.","['let', 'ahead', 'add', 'something', 'ahead', 'add', 'something', 'ahead', 'add', 'something', 'going', 'think', 'continue', 'going', 'think', 'continue', 'going', 'think', 'continue', 'increase']"
deep fakes will keep getting better.,"['deep', 'fake', 'keep', 'getting', 'better']"
"Um, the people that are trying better.","['people', 'trying', 'better']"
"Um, the people that are trying better.","['people', 'trying', 'better']"
"Um, the people that are trying to invest a lot of time into doing deep to invest a lot of time into doing deep to invest a lot of time into doing deep fake detection, don't bother because deep fakes keep keep getting better.","['people', 'trying', 'invest', 'lot', 'time', 'deep', 'invest', 'lot', 'time', 'deep', 'invest', 'lot', 'time', 'deep', 'fake', 'detection', 'bother', 'deep', 'fake', 'keep', 'keep', 'getting', 'better']"
The deep fakes keep keep getting better.,"['deep', 'fake', 'keep', 'keep', 'getting', 'better']"
The deep fakes keep keep getting better.,"['deep', 'fake', 'keep', 'keep', 'getting', 'better']"
The detectors will not be able to keep up.,"['detector', 'able', 'keep']"
detectors will not be able to keep up.,"['detector', 'able', 'keep']"
detectors will not be able to keep up.,"['detector', 'able', 'keep']"
"So, deep fakes are something we're going So, deep fakes are something we're going So, deep fakes are something we're going to have to accept and we're going to have to accept and we're going to have to accept and we're going to have to train people to expect them and have to train people to expect them and have to train people to expect them and not be looking to recognize them, but not be looking to recognize them, but not be looking to recognize them, but think about what the deep fake is asking think about what the deep fake is asking think about what the deep fake is asking them to do.","['deep', 'fake', 'something', 'going', 'deep', 'fake', 'something', 'going', 'deep', 'fake', 'something', 'going', 'accept', 'going', 'accept', 'going', 'accept', 'going', 'train', 'people', 'expect', 'train', 'people', 'expect', 'train', 'people', 'expect', 'looking', 'recognize', 'looking', 'recognize', 'looking', 'recognize', 'think', 'deep', 'fake', 'asking', 'think', 'deep', 'fake', 'asking', 'think', 'deep', 'fake', 'asking']"
"Now, another area that's not them to do.","['another', 'area']"
"Now, another area that's not them to do.","['another', 'area']"
"Now, another area that's not specifically related to agents, but I think is a pretty easy prediction is think is a pretty easy prediction is think is a pretty easy prediction is that we're going to see AI increase.","['another', 'area', 'specifically', 'related', 'agent', 'think', 'pretty', 'easy', 'prediction', 'think', 'pretty', 'easy', 'prediction', 'think', 'pretty', 'easy', 'prediction', 'going', 'see', 'increase']"
AI that we're going to see AI increase.,"['going', 'see', 'increase']"
AI that we're going to see AI increase.,"['going', 'see', 'increase']"
AI is going to increase though in some very is going to increase though in some very is going to increase though in some very predictable places and some not so predictable.,"['going', 'increase', 'though', 'going', 'increase', 'though', 'going', 'increase', 'though', 'predictable', 'place', 'predictable']"
One of my side hustles is predictable.,"['one', 'side', 'hustle', 'predictable']"
One of my side hustles is predictable.,"['one', 'side', 'hustle', 'predictable']"
One of my side hustles is as a as an adjunct professor at NC State as a as an adjunct professor at NC State as a as an adjunct professor at NC State University.,"['one', 'side', 'hustle', 'adjunct', 'professor', 'state', 'adjunct', 'professor', 'state', 'adjunct', 'professor', 'state', 'university']"
So I when I first saw what University.,"['first', 'saw', 'university']"
So I when I first saw what University.,"['first', 'saw', 'university']"
So I when I first saw what uh the capabilities of generative AI and uh the capabilities of generative AI and uh the capabilities of generative AI and chat bots could be my first reaction chat bots could be my first reaction chat bots could be my first reaction like most people in the education area like most people in the education area like most people in the education area was okay we need to outlaw this.,"['first', 'saw', 'capability', 'generative', 'capability', 'generative', 'capability', 'generative', 'chat', 'bot', 'could', 'first', 'reaction', 'chat', 'bot', 'could', 'first', 'reaction', 'chat', 'bot', 'could', 'first', 'reaction', 'like', 'people', 'education', 'area', 'like', 'people', 'education', 'area', 'like', 'people', 'education', 'area', 'okay', 'need', 'outlaw']"
We need was okay we need to outlaw this.,"['need', 'okay', 'need', 'outlaw']"
We need was okay we need to outlaw this.,"['need', 'okay', 'need', 'outlaw']"
We need to put detection in.,"['need', 'put', 'detection']"
We need to make to put detection in.,"['need', 'make', 'put', 'detection']"
We need to make to put detection in.,"['need', 'make', 'put', 'detection']"
We need to make sure students are still writing their papers and they're not just getting GPT papers and they're not just getting GPT papers and they're not just getting GPT output or whatever or something like that.,"['need', 'make', 'sure', 'student', 'still', 'writing', 'paper', 'getting', 'gpt', 'paper', 'getting', 'gpt', 'paper', 'getting', 'gpt', 'output', 'whatever', 'something', 'like']"
I think there's going to be a that.,"['think', 'going']"
I think there's going to be a that.,"['think', 'going']"
I think there's going to be a change and I did a video on this uh that change and I did a video on this uh that change and I did a video on this uh that will be coming out on the future of will be coming out on the future of will be coming out on the future of education based upon AI.,"['think', 'going', 'change', 'video', 'change', 'video', 'change', 'video', 'coming', 'future', 'coming', 'future', 'coming', 'future', 'education', 'based', 'upon']"
AI in the education based upon AI.,"['education', 'based', 'upon']"
AI in the education based upon AI.,"['education', 'based', 'upon']"
"AI in the future of education, education, the whole industry is going to have to whole industry is going to have to whole industry is going to have to embrace AI instead of fighting it.","['future', 'education', 'education', 'whole', 'industry', 'going', 'whole', 'industry', 'going', 'whole', 'industry', 'going', 'embrace', 'instead', 'fighting']"
It's embrace AI instead of fighting it.,"['embrace', 'instead', 'fighting']"
It's embrace AI instead of fighting it.,"['embrace', 'instead', 'fighting']"
It's not going to work for us to say just not going to work for us to say just not going to work for us to say just keep it out of the classroom.,"['going', 'work', 'say', 'going', 'work', 'say', 'going', 'work', 'say', 'keep', 'classroom']"
Nobody is keep it out of the classroom.,"['nobody', 'keep', 'classroom']"
Nobody is keep it out of the classroom.,"['nobody', 'keep', 'classroom']"
"Nobody is going to, your boss is not going to come going to, your boss is not going to come going to, your boss is not going to come to you in the future and say, I want you to you in the future and say, I want you to you in the future and say, I want you to accomplish this, this, and this, and to accomplish this, this, and this, and to accomplish this, this, and this, and don't use AI while you're doing it.","['nobody', 'going', 'bos', 'going', 'come', 'going', 'bos', 'going', 'come', 'going', 'bos', 'going', 'come', 'future', 'say', 'want', 'future', 'say', 'want', 'future', 'say', 'want', 'accomplish', 'accomplish', 'accomplish', 'use']"
don't use AI while you're doing it.,['use']
don't use AI while you're doing it.,['use']
Okay?,['okay']
If that's what the workplace is Okay?,"['workplace', 'okay']"
If that's what the workplace is Okay?,"['workplace', 'okay']"
"If that's what the workplace is going to require, then that's what we going to require, then that's what we going to require, then that's what we need to be training students to do.","['workplace', 'going', 'require', 'going', 'require', 'going', 'require', 'need', 'training', 'student']"
"So, need to be training students to do.","['need', 'training', 'student']"
"So, need to be training students to do.","['need', 'training', 'student']"
"So, education is going to have to change the education is going to have to change the education is going to have to change the way that we think about teaching and way that we think about teaching and way that we think about teaching and it's going to be affected dramatically by AI.","['education', 'going', 'change', 'education', 'going', 'change', 'education', 'going', 'change', 'way', 'think', 'teaching', 'way', 'think', 'teaching', 'way', 'think', 'teaching', 'going', 'affected', 'dramatically']"
Some other areas that we're going by AI.,"['area', 'going']"
Some other areas that we're going by AI.,"['area', 'going']"
"Some other areas that we're going to be seeing uh in the area of art and to be seeing uh in the area of art and to be seeing uh in the area of art and music, things of of the the arts.","['area', 'going', 'seeing', 'area', 'art', 'seeing', 'area', 'art', 'seeing', 'area', 'art', 'music', 'thing', 'art']"
"Um I'm music, things of of the the arts.","['music', 'thing', 'art']"
"Um I'm music, things of of the the arts.","['music', 'thing', 'art']"
"Um I'm a guitar player, so music is really a guitar player, so music is really a guitar player, so music is really important to me and I've seen what AI important to me and I've seen what AI important to me and I've seen what AI has been doing in the area of music.","['guitar', 'player', 'music', 'really', 'guitar', 'player', 'music', 'really', 'guitar', 'player', 'music', 'really', 'important', 'seen', 'important', 'seen', 'important', 'seen', 'area', 'music']"
has been doing in the area of music.,"['area', 'music']"
has been doing in the area of music.,"['area', 'music']"
We've got entire groups that don't exist.,"['got', 'entire', 'group', 'exist']"
They were generated out of AI.,['generated']
exist.,['exist']
They were generated out of AI.,['generated']
exist.,['exist']
They were generated out of AI.,['generated']
We're going to see more of that.,"['going', 'see']"
Some of We're going to see more of that.,"['going', 'see']"
Some of We're going to see more of that.,"['going', 'see']"
Some of the music that comes out is actually the music that comes out is actually the music that comes out is actually pretty good.,"['music', 'come', 'actually', 'music', 'come', 'actually', 'music', 'come', 'actually', 'pretty', 'good']"
Not all of it.,[]
Some of it's pretty good.,"['pretty', 'good']"
Not all of it.,[]
Some of it's pretty good.,"['pretty', 'good']"
Not all of it.,[]
"Some of it's just slop, but heck, we've had slop in just slop, but heck, we've had slop in just slop, but heck, we've had slop in the music industry for as long as we the music industry for as long as we the music industry for as long as we have in the music industry.","['slop', 'heck', 'slop', 'slop', 'heck', 'slop', 'slop', 'heck', 'slop', 'music', 'industry', 'long', 'music', 'industry', 'long', 'music', 'industry', 'long', 'music', 'industry']"
"So, that's have in the music industry.","['music', 'industry']"
"So, that's have in the music industry.","['music', 'industry']"
"So, that's not new.",['new']
Marketing is another area where not new.,"['marketing', 'another', 'area', 'new']"
Marketing is another area where not new.,"['marketing', 'another', 'area', 'new']"
Marketing is another area where we're seeing a lot of uses of AI already we're seeing a lot of uses of AI already we're seeing a lot of uses of AI already and even more as it can generate copy and even more as it can generate copy and even more as it can generate copy for us.,"['marketing', 'another', 'area', 'seeing', 'lot', 'us', 'already', 'seeing', 'lot', 'us', 'already', 'seeing', 'lot', 'us', 'already', 'even', 'generate', 'copy', 'even', 'generate', 'copy', 'even', 'generate', 'copy']"
It can generate even give you for us.,"['generate', 'even', 'give']"
It can generate even give you for us.,"['generate', 'even', 'give']"
It can generate even give you ideas for business plans.,"['generate', 'even', 'give', 'idea', 'business', 'plan']"
It can give ideas for business plans.,"['give', 'idea', 'business', 'plan']"
It can give ideas for business plans.,"['give', 'idea', 'business', 'plan']"
It can give you ideas for marketing campaigns.,"['give', 'idea', 'marketing', 'campaign']"
"Another one that's going to affect, and Another one that's going to affect, and Another one that's going to affect, and I keep telling this to all of my I keep telling this to all of my I keep telling this to all of my students, if you just want to learn to students, if you just want to learn to students, if you just want to learn to code, like I did when I was a computer code, like I did when I was a computer code, like I did when I was a computer science major, I was going to learn to science major, I was going to learn to science major, I was going to learn to be a programmer.","['another', 'one', 'going', 'affect', 'another', 'one', 'going', 'affect', 'another', 'one', 'going', 'affect', 'keep', 'telling', 'keep', 'telling', 'keep', 'telling', 'student', 'want', 'learn', 'student', 'want', 'learn', 'student', 'want', 'learn', 'code', 'like', 'computer', 'code', 'like', 'computer', 'code', 'like', 'computer', 'science', 'major', 'going', 'learn', 'science', 'major', 'going', 'learn', 'science', 'major', 'going', 'learn', 'programmer']"
If that's all you want be a programmer.,"['want', 'programmer']"
If that's all you want be a programmer.,"['want', 'programmer']"
"If that's all you want to do, we're going to need far fewer of to do, we're going to need far fewer of to do, we're going to need far fewer of those in the future as AI gets better those in the future as AI gets better those in the future as AI gets better and better at writing code.","['want', 'going', 'need', 'far', 'fewer', 'going', 'need', 'far', 'fewer', 'going', 'need', 'far', 'fewer', 'future', 'get', 'better', 'future', 'get', 'better', 'future', 'get', 'better', 'better', 'writing', 'code']"
"Right now, and better at writing code.","['right', 'better', 'writing', 'code']"
"Right now, and better at writing code.","['right', 'better', 'writing', 'code']"
"Right now, people are still better, but people don't scale to the same degree as AI, don't scale to the same degree as AI, don't scale to the same degree as AI, and AI keeps getting better.","['right', 'people', 'still', 'better', 'people', 'scale', 'degree', 'scale', 'degree', 'scale', 'degree', 'keep', 'getting', 'better']"
"So, we'll and AI keeps getting better.","['keep', 'getting', 'better']"
"So, we'll and AI keeps getting better.","['keep', 'getting', 'better']"
"So, we'll still have coding jobs, but not as many still have coding jobs, but not as many still have coding jobs, but not as many going forward.","['still', 'coding', 'job', 'many', 'still', 'coding', 'job', 'many', 'still', 'coding', 'job', 'many', 'going', 'forward']"
I think you're going to going forward.,"['think', 'going', 'going', 'forward']"
I think you're going to going forward.,"['think', 'going', 'going', 'forward']"
I think you're going to see AI affecting all of these areas in a see AI affecting all of these areas in a see AI affecting all of these areas in a very significant way as we move forward.,"['think', 'going', 'see', 'affecting', 'area', 'see', 'affecting', 'area', 'see', 'affecting', 'area', 'significant', 'way', 'move', 'forward']"
very significant way as we move forward.,"['significant', 'way', 'move', 'forward']"
very significant way as we move forward.,"['significant', 'way', 'move', 'forward']"
"Just to let you know, I'm not only Just to let you know, I'm not only Just to let you know, I'm not only focused on AI for the future.","['let', 'know', 'let', 'know', 'let', 'know', 'focused', 'future']"
There's focused on AI for the future.,"['focused', 'future']"
There's focused on AI for the future.,"['focused', 'future']"
